school,city,state
Stony Brook University—_SUNY ,Stony Brook, NY
Syracuse University ,Syracuse, NY
Temple University ,Philadelphia, PA
Texas A&M University—_College Station ,College Station, TX
Texas Tech University ,Lubbock, TX
Towson University ,Towson, MD
Tufts University ,Medford, MA
Tulane University,New Orleans, LA
University of Alabama ,Tuscaloosa, AL
University of Alabama—_Birmingham,Birmingham, AL
University of Alabama—_Huntsville ,Huntsville, AL
University of Arizona,Tucson, AZ
University of Arkansas—_Fayetteville ,Fayetteville, AR
University of Arkansas—_Little Rock,Little Rock, AR
University of California—_Berkeley ,San Francisco, CA
University of California—_Davis ,Davis, CA
University of California—_Irvine ,Irvine, CA
University of California—_Los Angeles ,Los Angeles, CA
University of California—_Riverside,Riverside, CA
University of California—_San Diego,San Diego, CA
University of California—_Santa Barbara ,Santa Barbara, CA
University of California—_Santa Cruz ,Santa Cruz, CA
University of Central Florida ,Orlando, FL
University of Chicago ,Chicago, IL
University of Cincinnati,Cincinnati, OH
University of Colorado—_Boulder ,Boulder, CO
University of Colorado—_Colorado Springs ,Colorado Springs, CO
University of Colorado—_Denver ,Denver, CO
University of Connecticut,Storrs, CT
University of Delaware ,Newark, DE
University of Denver ,Denver, CO
University of Florida ,Gainesville, FL
University of Georgia ,Athens, GA
University of Hawaii—_Manoa ,Honolulu, HI
University of Houston ,Houston, TX
University of Idaho ,Moscow, ID
University of Illinois—_Chicago,Chicago, IL
University of Illinois—_Urbana-_Champaign ,Champaign, IL
University of Iowa ,Iowa City, IA
University of Kansas ,Lawrence, KS
University of Kentucky ,Lexington, KY
University of Louisiana—_Lafayette ,Lafayette, LA
University of Louisville,Louisville, KY
University of Maine ,Orono, ME
University of Maryland—_Baltimore County ,Baltimore, MD
University of Maryland—_College Park ,Washington, DC
University of Massachusetts—_Amherst ,Amherst, MA
University of Memphis ,Memphis, TN
University of Michigan—_Ann Arbor ,Ann Arbor, MI
University of Minnesota—_Twin Cities ,Minneapolis, MN
University of Mississippi ,University, MS
University of Missouri ,Columbia, MO
University of Missouri—_Kansas City ,Kansas City, MO
University of Nebraska ,Lincoln, NE
University of Nebraska—_Omaha ,Omaha, NE
University of Nevada—_Reno ,Reno, NV
University of New Mexico ,Albuquerque, NM
University of New Orleans ,New Orleans, LA
University of North Carolina—_Chapel Hill ,Chapel Hill, NC
University of North Carolina—_Charlotte,Charlotte, NC
University of North Texas ,Denton, TX
University of Notre Dame ,Notre Dame, IN
University of Oklahoma ,Norman, OK
University of Oregon ,Eugene, OR
University of Pennsylvania ,Philadelphia, PA
University of Pittsburgh ,Pittsburgh, PA
University of Rochester,Rochester, NY
University of South Carolina ,Columbia, SC
University of South Florida ,Tampa, FL
University of Southern California ,Los Angeles, CA
University of Southern Mississippi ,Hattiesburg, MS
University of Tennessee—_Knoxville ,Knoxville, TN
University of Texas—_Arlington ,Arlington, TX
University of Texas—_Austin ,Austin, TX
University of Texas—_Dallas ,Richardson, TX
University of Texas—_El Paso ,El Paso, TX
University of Texas—_San Antonio ,San Antonio, TX
University of Tulsa ,Tulsa, OK
University of Utah ,Salt Lake City, UT
University of Virginia ,Charlottesville, VA
University of Washington ,Seattle, WA
University of Wisconsin—_Madison,Madison, WI
University of Wisconsin—_Milwaukee ,Milwaukee, WI
University of Wyoming ,Laramie, WY
Utah State University ,Logan, UT
Vanderbilt University ,Nashville, TN
Virginia Commonwealth University,Richmond, VA
Virginia Tech ,Blacksburg, VA
Washington State University ,Pullman, WA
Washington University in St. Louis ,St. Louis, MO
Wayne State University ,Detroit, MI
West Virginia University ,Morgantown, WV
Western Michigan University ,Kalamazoo, MI
Worcester Polytechnic Institute ,Worcester, MA
Wright State University ,Dayton, OH
Yale University ,New Haven, CT
